xmin,ymin,xmax,ymax,Object
84.96786900000001,888.68504294,282.801349,910.90104294,FPMA-D750BLACK
405.714146,888.68504294,519.5711460000001,910.90104294,NEWSTAR
522.970194,888.68504294,720.8036740000001,910.90104294,FPMA-D750BLACK
724.202722,888.68504294,781.2978420000001,910.90104294,FLAT
784.69689,888.68504294,880.0479620000001,910.90104294,SCREEN
883.44701,888.68504294,946.718178,910.90104294,DESK
950.117226,888.68504294,1034.338082,910.90104294,MOUNT
1245.90105,888.68504294,1304.262482,910.90104294,55.80
1394.181742,888.68504294,1483.423414,910.90104294,"4,185.00"
1515.3144820000002,888.68504294,1562.545698,910.90104294,21%
355.22550900000005,889.1626869400001,385.794725,914.15568694,75
828.5096189999999,2026.54413094,897.6291490000001,2054.3141309400003,Total
902.572209,2026.54413094,1005.6266790000001,2054.3141309400003,amount
1010.569739,2026.54413094,1062.7217990000001,2054.3141309400003,due
1261.727173,2026.54413094,1310.796763,2054.3141309400003,Eur
1370.110706,2026.54413094,1480.968546,2054.3141309400003,"8,122.73"
828.5096189999999,1955.06415094,885.2992690000001,1982.83415094,VAT
914.0745430000001,1955.06415094,986.332083,1982.83415094,21.00
991.2751430000001,1955.06415094,1018.739673,1982.83415094,%
1026.373646,1955.06415094,1083.163296,1982.83415094,over
1134.759956,1955.06415094,1274.137586,1982.83415094,"6,713.00is"
1370.110706,1955.06415094,1480.968546,1982.83415094,"1,409.73"
828.5096189999999,1926.57213094,897.6291490000001,1954.34213094,Total
902.572209,1926.57213094,1004.0715590000001,1954.34213094,without
1009.014619,1926.57213094,1067.331619,1954.34213094,VAT
1370.110706,1926.57213094,1480.968546,1954.34213094,"6,713.00"
78.716842,1924.48938094,235.75619200000003,1952.25938094,Conditions:
78.716842,1955.73063094,197.239202,1983.50063094,Payment
202.182262,1955.73063094,235.839502,1983.50063094,60
240.782562,1955.73063094,306.847392,1983.50063094,days
311.790452,1955.73063094,356.22245200000003,1983.50063094,net
361.16551200000004,1955.73063094,373.189922,1983.50063094,-
378.132982,1955.73063094,436.44998200000003,1983.50063094,VAT
441.39304200000004,1955.73063094,558.360282,1983.50063094,EXEMPT
563.303342,1955.73063094,575.327752,1983.50063094,-
580.270812,1955.73063094,677.188112,1983.50063094,Art.138
682.131172,1955.73063094,726.5631720000001,1983.50063094,"(1),"
731.5062320000001,1955.73063094,796.0159420000001,1983.50063094,SIXT
78.716842,1987.2218109400003,137.033842,2014.9918109400003,VAT
141.976902,1987.2218109400003,292.879082,2014.9918109400003,DIRECTIVE
346.064186,2116.06350294,434.01733,2138.27950294,NewStar
437.41637800000007,2116.06350294,514.283738,2138.27950294,general
517.6827860000001,2116.06350294,575.9997860000001,2138.27950294,terms
579.398834,2116.06350294,619.232122,2138.27950294,and
622.63117,2116.06350294,725.424602,2138.27950294,conditions
728.82365,2116.06350294,784.69689,2138.27950294,apply
788.095938,2116.06350294,809.4010820000001,2138.27950294,to
812.8001300000001,2116.06350294,837.79313,2138.27950294,all
841.192178,2116.06350294,969.9116820000002,2138.27950294,transactions.
973.31073,2116.06350294,1029.18397,2138.27950294,Upon
1032.583018,2116.06350294,1109.450378,2138.27950294,request
1112.849426,2116.06350294,1144.018474,2138.27950294,we
1147.417522,2116.06350294,1186.006714,2138.27950294,can
1189.405762,2116.06350294,1240.34705,2138.27950294,send
1243.746098,2116.06350294,1258.875194,2138.27950294,a
1262.274242,2116.06350294,1318.147482,2138.27950294,copy.
411.129296,2093.81973294,458.360512,2116.03573294,Intra
461.75956,2093.81973294,571.928704,2116.03573294,community
575.327752,2093.81973294,642.308992,2116.03573294,supply
645.7080400000001,2093.81973294,689.229184,2116.03573294,acc.
692.628232,2093.81973294,729.9733279999999,2116.03573294,Art.
733.3723760000001,2093.81973294,773.2056640000001,2116.03573294,138
776.6047120000001,2093.81973294,810.239736,2116.03573294,EU
813.6387840000001,2093.81973294,899.1259520000001,2116.03573294,directive
902.5250000000001,2093.81973294,911.4780480000001,2116.03573294,/
914.8770959999999,2093.81973294,986.790288,2116.03573294,invoice
990.189336,2093.81973294,1036.1986720000002,2116.03573294,date
1039.59772,2093.81973294,1107.823056,2116.03573294,equals
1111.222104,2093.81973294,1196.7314880000001,2116.03573294,shipping
1200.1305360000001,2093.81973294,1252.31592,2116.03573294,date.
